Year,Commodity,Value_A$m,TradeType
2020,93 Special transactions and commodities not classified according to kind ;,2,Imports
2021,93 Special transactions and commodities not classified according to kind ;,4,Imports
2022,93 Special transactions and commodities not classified according to kind ;,3,Imports
2023,93 Special transactions and commodities not classified according to kind ;,6,Imports
2024,93 Special transactions and commodities not classified according to kind ;,1,Imports
2014,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",44,Imports
2015,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",47,Imports
2016,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",41,Imports
2017,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",21,Imports
2018,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",30,Imports
2019,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",33,Imports
2020,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",60,Imports
2021,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",56,Imports
2022,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",80,Imports
2023,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",66,Imports
2024,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",57,Imports
2014,96 Coin (excl. gold coin) not being legal tender ;,1,Imports
2015,96 Coin (excl. gold coin) not being legal tender ;,5,Imports
2016,96 Coin (excl. gold coin) not being legal tender ;,7,Imports
2017,96 Coin (excl. gold coin) not being legal tender ;,3,Imports
2018,96 Coin (excl. gold coin) not being legal tender ;,7,Imports
2019,96 Coin (excl. gold coin) not being legal tender ;,2,Imports
2020,96 Coin (excl. gold coin) not being legal tender ;,12,Imports
2021,96 Coin (excl. gold coin) not being legal tender ;,11,Imports
2022,96 Coin (excl. gold coin) not being legal tender ;,17,Imports
2023,96 Coin (excl. gold coin) not being legal tender ;,19,Imports
2024,96 Coin (excl. gold coin) not being legal tender ;,18,Imports
2014,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",4004,Imports
2015,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",4456,Imports
2016,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",7468,Imports
2017,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",6220,Imports
2018,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",6385,Imports
2019,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",6772,Imports
2020,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",9208,Imports
2021,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",6525,Imports
2022,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",6959,Imports
2023,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",8565,Imports
2024,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",9876,Imports
2014,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,6784,Imports
2015,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,6909,Imports
2016,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,2440,Imports
2017,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,15140,Imports
2018,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5711,Imports
2019,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,4434,Imports
2020,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,2632,Imports
2021,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,4615,Imports
2022,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,5229,Imports
2023,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,3917,Imports
2024,98 Combined confidential items excluding some of SITC 28099 (exports only) and some of SITC 51099 (imports only) ;,3553,Imports
2014,-1 TOTAL ;,252778,Imports
2015,-1 TOTAL ;,267074,Imports
2016,-1 TOTAL ;,254345,Imports
2017,-1 TOTAL ;,288291,Imports
2018,-1 TOTAL ;,304050,Imports
2019,-1 TOTAL ;,307549,Imports
2020,-1 TOTAL ;,293603,Imports
2021,-1 TOTAL ;,330234,Imports
2022,-1 TOTAL ;,417002,Imports
2023,-1 TOTAL ;,413869,Imports
2024,-1 TOTAL ;,429980,Imports
